molecule_chembl_id,canonical_smiles,standard_value,0,MW,LogP,NumHDonors,NumHAcceptors,standard_value_norm,pIC50_values
CHEMBL419942,CCCC[C@@H](C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)C[C@H](C(=O)NCCN(C)C)C(C)C)N1CCN(C(=O)N2CCN(C)CC2)[C@H](Cc2ccccc2)C1=O,58000.0,inactive,754.0739999999998,3.82430000000001,3.0,7.0,58000.0,4.236572006437063
CHEMBL325071,CCCC[C@@H](C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)C[C@H](C(=O)NCCC)C(C)C)N1CCN(C(=O)N2CCN(C)CC2)[C@H](Cc2ccccc2)C1=O,770.0,active,725.0319999999999,4.672700000000007,3.0,6.0,770.0,6.113509274827518
CHEMBL114167,CCCCNC(=O)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)COc1ccc2ccccc2c1)c1ccccc1,110.0,active,547.6960000000003,4.274300000000003,4.0,5.0,110.0,6.958607314841775
CHEMBL273264,N=C(N)Nc1ccc(C(=O)Oc2ccc3cc(C(=N)N)ccc3c2)cc1,1000000.0,inactive,347.37800000000004,2.648440000000001,5.0,4.0,1000000.0,3.0
CHEMBL81927,COc1cc(Br)c(C(=O)N[C@@H](Cc2cccc(Oc3ccccc3)c2)[C@@H](O)CN(CCc2ccc(Cl)cc2Cl)C(=O)CCN2C(=O)c3ccccc3C2=O)cc1OC,0.7,active,889.6269999999998,8.02500000000001,2.0,8.0,0.7,9.154901959985743
CHEMBL84317,CCOc1ccc2nc(Sc3ccc(NC(=O)c4ccc(C(F)(F)F)cc4O)cc3)sc2c1,10000.0,inactive,490.5280000000001,6.822900000000003,2.0,6.0,10000.0,5.0
CHEMBL314649,CCOc1ccc2nc(Sc3ccc(NC(=O)c4cc(Cl)cc(Cl)c4OS(=O)(=O)c4cc(Cl)cc(Cl)c4O)cc3)sc2c1,490.0,active,716.4730000000003,9.185399999999994,2.0,9.0,490.0,6.309803919971486
CHEMBL85842,CCOc1ccc2nc(Sc3ccc(NC(=O)c4cc(Cl)ccc4O)cc3)sc2c1,10000.0,inactive,456.97600000000017,6.457500000000003,2.0,6.0,10000.0,5.0
CHEMBL296588,CC(C)CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)[C@@H](O)CC(=O)N[C@@H](C)C(=O)N[C@@H](CC(C)C)[C@@H](O)CC(=O)O)C(C)C)C(C)C,2.0,active,685.9040000000002,1.467200000000006,8.0,8.0,2.0,8.698970004336019
CHEMBL81963,CCOc1ccc2nc(Sc3ccc(NC(=O)c4cccc(C)c4O)cc3)sc2c1,10000.0,inactive,436.55800000000016,6.112520000000004,2.0,6.0,10000.0,5.0
CHEMBL314638,CCOc1ccc2nc(Sc3ccc(NC(=O)c4cc(Cl)cc(Cl)c4CS(=O)(=O)c4cc(Cl)cc(Cl)c4O)cc3)sc2c1,600.0,active,714.5010000000003,9.391599999999997,2.0,8.0,600.0,6.221848749616356
CHEMBL314030,CCOc1ccc2nc(Sc3ccc(NC(=O)c4cc(Cl)ccc4OS(=O)(=O)c4cc(Cl)cc(Cl)c4O)cc3)sc2c1,700.0,active,682.0280000000002,8.531999999999998,2.0,9.0,700.0,6.154901959985743
CHEMBL83114,CCOc1ccc2nc(Sc3ccc(NC(=O)c4cc(Cl)cc(Cl)c4NS(=O)(=O)c4cc(Cl)cc(Cl)c4O)cc3)sc2c1,250.0,active,715.4890000000003,9.218499999999995,3.0,8.0,250.0,6.6020599913279625
CHEMBL367404,CCOc1ccc2nc(Sc3ccc(NC(=O)c4cc(C)cc(C)c4O)cc3)sc2c1,10000.0,inactive,450.5850000000002,6.420940000000004,2.0,6.0,10000.0,5.0
CHEMBL83361,CCOc1ccc2nc(Sc3ccc(NC(=O)c4cccc(Cl)c4O)cc3)sc2c1,10000.0,inactive,456.97600000000017,6.457500000000003,2.0,6.0,10000.0,5.0
CHEMBL314359,CCOc1ccc2nc(Sc3ccc(NC(=O)c4cc(Cl)cc(Cl)c4NC(=O)c4cc(Cl)cc(Cl)c4)cc3)sc2c1,780.0,active,663.4350000000002,9.964399999999992,2.0,6.0,780.0,6.107905397309519
CHEMBL311721,CCOc1ccc2nc(Sc3ccc(NC(=O)c4ccccc4O)cc3)sc2c1,10000.0,inactive,422.5310000000001,5.804100000000004,2.0,6.0,10000.0,5.0
CHEMBL85006,CCOc1ccc2nc(Sc3ccc(NS(=O)(=O)c4cc(Cl)cc(Cl)c4OS(=O)(=O)c4cc(Cl)cc(Cl)c4O)cc3)sc2c1,460.0,active,752.5280000000002,8.733899999999998,2.0,10.0,460.0,6.337242168318426
CHEMBL47476,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)[C@H](O)CNC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C,31000.0,inactive,543.7050000000002,3.5698000000000016,5.0,7.0,31000.0,4.508638306165727
